Tweets Ago,compound,date,neg,neu,pos,time,user
25,-0.8225,2018-03-03,0.336,0.664,0.0,Sat Mar 03 16:45:09 +0000 2018,@CNN
26,0.4939,2018-03-03,0.0,0.738,0.262,Sat Mar 03 16:30:15 +0000 2018,@CNN
27,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 16:15:03 +0000 2018,@CNN
28,0.4939,2018-03-03,0.0,0.842,0.158,Sat Mar 03 16:00:18 +0000 2018,@CNN
29,-0.34,2018-03-03,0.194,0.806,0.0,Sat Mar 03 15:45:05 +0000 2018,@CNN
30,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 15:32:13 +0000 2018,@CNN
31,-0.34,2018-03-03,0.156,0.844,0.0,Sat Mar 03 14:30:12 +0000 2018,@CNN
32,-0.5994,2018-03-03,0.245,0.755,0.0,Sat Mar 03 14:00:40 +0000 2018,@CNN
33,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 13:30:16 +0000 2018,@CNN
34,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 13:00:13 +0000 2018,@CNN
35,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 12:31:06 +0000 2018,@CNN
36,0.3612,2018-03-03,0.0,0.783,0.217,Sat Mar 03 12:00:35 +0000 2018,@CNN
37,0.3612,2018-03-03,0.0,0.762,0.238,Sat Mar 03 11:30:12 +0000 2018,@CNN
38,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 11:00:23 +0000 2018,@CNN
39,0.7964,2018-03-03,0.0,0.664,0.336,Sat Mar 03 10:31:06 +0000 2018,@CNN
40,0.5574,2018-03-03,0.077,0.663,0.26,Sat Mar 03 10:00:35 +0000 2018,@CNN
41,-0.7783,2018-03-03,0.264,0.736,0.0,Sat Mar 03 09:28:03 +0000 2018,@CNN
42,0.4215,2018-03-03,0.0,0.891,0.109,Sat Mar 03 09:01:18 +0000 2018,@CNN
43,-0.3818,2018-03-03,0.133,0.867,0.0,Sat Mar 03 08:31:26 +0000 2018,@CNN
44,-0.296,2018-03-03,0.109,0.891,0.0,Sat Mar 03 08:00:22 +0000 2018,@CNN
45,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 07:28:05 +0000 2018,@CNN
